machine_code,unit_number,data_date,sampled_at_jst,slump_value
M0013,3087,2026-08-16,2026-08-16T17:30:17+09:00,-1400
M0013,3087,2026-08-16,2026-08-16T18:07:35+09:00,-2000
M0013,3087,2026-08-16,2026-08-16T18:38:25+09:00,-700
M0013,3087,2026-08-16,2026-08-16T19:40:19+09:00,-2000
M0013,3087,2026-08-16,2026-08-16T20:25:39+09:00,-1800
M0013,3087,2026-08-16,2026-08-16T21:04:51+09:00,-2200
M0013,3087,2026-08-16,2026-08-16T21:42:13+09:00,-2500
M0013,3087,2026-08-16,2026-08-16T22:32:01+09:00,-2900
M0014,3150,2026-08-16,2026-08-16T10:53:41+09:00,-200
M0014,3150,2026-08-16,2026-08-16T11:28:27+09:00,-400
M0014,3150,2026-08-16,2026-08-16T12:02:27+09:00,-800
M0014,3150,2026-08-16,2026-08-16T12:35:49+09:00,-1300
M0014,3150,2026-08-16,2026-08-16T13:06:49+09:00,1000
M0014,3150,2026-08-16,2026-08-16T13:36:19+09:00,700
M0014,3150,2026-08-16,2026-08-16T14:09:21+09:00,200
M0014,3150,2026-08-16,2026-08-16T14:51:21+09:00,700
M0014,3150,2026-08-16,2026-08-16T15:29:10+09:00,0
M0014,3150,2026-08-16,2026-08-16T16:05:23+09:00,-100
M0014,3150,2026-08-16,2026-08-16T16:39:55+09:00,300
M0014,3150,2026-08-16,2026-08-16T17:30:17+09:00,-400
M0014,3150,2026-08-16,2026-08-16T18:07:35+09:00,-1000
M0014,3150,2026-08-16,2026-08-16T18:38:25+09:00,-1500
M0014,3150,2026-08-16,2026-08-16T19:40:19+09:00,-1100
M0014,3150,2026-08-16,2026-08-16T20:25:39+09:00,-1300
M0014,3150,2026-08-16,2026-08-16T21:04:51+09:00,-1100
M0014,3150,2026-08-16,2026-08-16T21:42:13+09:00,-1800
M0014,3150,2026-08-16,2026-08-16T22:32:01+09:00,-1300
M0015,3151,2026-08-16,2026-08-16T10:53:41+09:00,-100
M0015,3151,2026-08-16,2026-08-16T11:28:27+09:00,200
M0015,3151,2026-08-16,2026-08-16T12:02:27+09:00,-500
M0015,3151,2026-08-16,2026-08-16T12:35:49+09:00,200
M0015,3151,2026-08-16,2026-08-16T13:06:49+09:00,-500
M0015,3151,2026-08-16,2026-08-16T14:09:21+09:00,-1100
M0015,3151,2026-08-16,2026-08-16T14:51:21+09:00,-1700
M0015,3151,2026-08-16,2026-08-16T15:29:10+09:00,-1500
M0015,3151,2026-08-16,2026-08-16T16:05:23+09:00,-1900
M0015,3151,2026-08-16,2026-08-16T16:39:55+09:00,-3100
M0015,3151,2026-08-16,2026-08-16T17:30:17+09:00,-2800
M0015,3151,2026-08-16,2026-08-16T18:07:35+09:00,-3200
M0015,3151,2026-08-16,2026-08-16T19:40:19+09:00,-3100
M0016,3152,2026-08-16,2026-08-16T10:53:41+09:00,-100
M0016,3152,2026-08-16,2026-08-16T11:28:27+09:00,1500
M0016,3152,2026-08-16,2026-08-16T12:02:27+09:00,2900
M0016,3152,2026-08-16,2026-08-16T12:35:49+09:00,2500
M0016,3152,2026-08-16,2026-08-16T13:06:49+09:00,3400
M0016,3152,2026-08-16,2026-08-16T13:36:19+09:00,5600
M0016,3152,2026-08-16,2026-08-16T14:09:21+09:00,6500
M0016,3152,2026-08-16,2026-08-16T14:51:21+09:00,6200
M0016,3152,2026-08-16,2026-08-16T15:29:10+09:00,6300
M0016,3152,2026-08-16,2026-08-16T16:05:23+09:00,6500
M0016,3152,2026-08-16,2026-08-16T16:39:55+09:00,6800
M0016,3152,2026-08-16,2026-08-16T17:30:17+09:00,8300
M0016,3152,2026-08-16,2026-08-16T18:07:35+09:00,8800
M0016,3152,2026-08-16,2026-08-16T18:38:25+09:00,7800
M0016,3152,2026-08-16,2026-08-16T19:40:19+09:00,6700
M0016,3152,2026-08-16,2026-08-16T20:25:39+09:00,5900
M0016,3152,2026-08-16,2026-08-16T21:04:51+09:00,5300
M0016,3152,2026-08-16,2026-08-16T21:42:13+09:00,6300
M0017,3153,2026-08-16,2026-08-16T10:53:41+09:00,-100
M0017,3153,2026-08-16,2026-08-16T11:28:27+09:00,-700
M0017,3153,2026-08-16,2026-08-16T12:02:27+09:00,-100
M0017,3153,2026-08-16,2026-08-16T12:35:49+09:00,-700
M0017,3153,2026-08-16,2026-08-16T13:06:49+09:00,-1300
M0017,3153,2026-08-16,2026-08-16T13:36:19+09:00,-1900
M0017,3153,2026-08-16,2026-08-16T14:09:21+09:00,-2600
M0017,3153,2026-08-16,2026-08-16T15:29:10+09:00,-2100
M0017,3153,2026-08-16,2026-08-16T16:05:23+09:00,-2800
M0017,3153,2026-08-16,2026-08-16T16:39:55+09:00,-3900
M0017,3153,2026-08-16,2026-08-16T17:30:17+09:00,-3800
M0017,3153,2026-08-16,2026-08-16T18:07:35+09:00,-4400
M0017,3153,2026-08-16,2026-08-16T18:38:25+09:00,-4300
M0017,3153,2026-08-16,2026-08-16T19:40:19+09:00,-4600
M0017,3153,2026-08-16,2026-08-16T20:25:39+09:00,-4300
M0018,3154,2026-08-16,2026-08-16T10:53:41+09:00,-200
M0018,3154,2026-08-16,2026-08-16T11:28:27+09:00,400
M0018,3154,2026-08-16,2026-08-16T12:02:27+09:00,200
