data_date,sampled_at_jst,avg_slump_value,machine_count
2026-08-13,2026-08-13T11:40:00+09:00,-410,30
2026-08-13,2026-08-13T12:00:00+09:00,-410,30
2026-08-13,2026-08-13T12:20:00+09:00,-380,30
2026-08-13,2026-08-13T12:40:00+09:00,-557,30
2026-08-13,2026-08-13T13:00:00+09:00,-557,30
2026-08-13,2026-08-13T13:20:00+09:00,-203,30
2026-08-13,2026-08-13T13:40:00+09:00,-203,30
2026-08-13,2026-08-13T14:00:00+09:00,-203,30
2026-08-13,2026-08-13T14:20:00+09:00,-170,30
2026-08-13,2026-08-13T14:40:00+09:00,-190,30
2026-08-13,2026-08-13T15:00:00+09:00,-190,30
2026-08-13,2026-08-13T15:20:00+09:00,-403,30
2026-08-13,2026-08-13T15:40:00+09:00,-403,30
2026-08-13,2026-08-13T16:00:00+09:00,-507,30
2026-08-13,2026-08-13T16:20:00+09:00,-507,30
2026-08-13,2026-08-13T16:40:00+09:00,-393,30
2026-08-13,2026-08-13T17:00:00+09:00,-393,30
2026-08-13,2026-08-13T17:20:00+09:00,-327,30
2026-08-13,2026-08-13T17:40:00+09:00,-327,30
2026-08-13,2026-08-13T18:00:00+09:00,-203,30
2026-08-13,2026-08-13T18:20:00+09:00,-203,30
2026-08-13,2026-08-13T18:40:00+09:00,-33,30
2026-08-13,2026-08-13T19:00:00+09:00,-33,30
2026-08-13,2026-08-13T19:20:00+09:00,-67,30
2026-08-13,2026-08-13T19:40:00+09:00,-67,30
2026-08-13,2026-08-13T20:00:00+09:00,-67,30
2026-08-13,2026-08-13T20:20:00+09:00,-107,30
2026-08-13,2026-08-13T20:40:00+09:00,-493,30
2026-08-13,2026-08-13T21:00:00+09:00,-493,30
2026-08-13,2026-08-13T21:20:00+09:00,-493,30
2026-08-13,2026-08-13T21:40:00+09:00,-453,30
2026-08-13,2026-08-13T22:00:00+09:00,-453,30
2026-08-13,2026-08-13T22:20:00+09:00,-310,30
2026-08-13,2026-08-13T22:40:00+09:00,-310,30
2026-08-13,2026-08-13T23:00:00+09:00,-367,30
2026-08-13,2026-08-13T23:20:00+09:00,-367,30
2026-08-13,2026-08-13T23:40:00+09:00,-380,30
2026-08-14,2026-08-14T11:00:00+09:00,-103,30
2026-08-14,2026-08-14T11:20:00+09:00,-103,30
2026-08-14,2026-08-14T11:40:00+09:00,-263,30
2026-08-14,2026-08-14T12:00:00+09:00,-263,30
2026-08-14,2026-08-14T12:20:00+09:00,87,30
2026-08-14,2026-08-14T12:40:00+09:00,227,30
2026-08-14,2026-08-14T13:00:00+09:00,227,30
2026-08-14,2026-08-14T13:20:00+09:00,-10,30
2026-08-14,2026-08-14T13:40:00+09:00,-93,30
2026-08-14,2026-08-14T14:00:00+09:00,-93,30
2026-08-14,2026-08-14T14:20:00+09:00,-47,30
2026-08-14,2026-08-14T14:40:00+09:00,-47,30
2026-08-14,2026-08-14T15:00:00+09:00,47,30
2026-08-14,2026-08-14T15:20:00+09:00,47,30
